big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
--------+-------------+------------+------------+-----------------+-------------------
 WAC    |         327 | 2008-01-02 | 2013-12-18 |           6.527 |            -1.015
 SPG    |         209 | 2008-01-07 | 2013-12-13 |           4.740 |            -1.004
 PSA    |         188 | 2008-01-09 | 2013-10-16 |           4.340 |            -0.917
 EQR    |         224 | 2008-01-22 | 2014-01-30 |           4.605 |            -0.898
 VTR    |         199 | 2008-01-10 | 2014-01-10 |           4.424 |            -0.894
 ALL    |         152 | 2008-01-23 | 2014-01-28 |           4.403 |            -0.849
 LMT    |         100 | 2008-01-03 | 2013-12-18 |           3.169 |            -0.820
 HCP    |         208 | 2008-01-10 | 2014-01-10 |           4.509 |            -0.820
 NNN    |         183 | 2008-01-09 | 2014-01-21 |           3.972 |            -0.816
 CINF   |         138 | 2008-01-10 | 2013-10-10 |           4.027 |            -0.812
 IYR    |         179 | 2008-01-22 | 2013-10-10 |           4.261 |            -0.781
 AFL    |         221 | 2008-01-09 | 2013-11-08 |           4.489 |            -0.779
 HCN    |         168 | 2008-01-09 | 2014-01-10 |           3.843 |            -0.778
 REG    |         217 | 2008-01-22 | 2013-10-16 |           4.420 |            -0.731
 CB     |         119 | 2008-01-28 | 2013-10-10 |           3.926 |            -0.695
 WRB    |         120 | 2008-01-23 | 2014-01-28 |           3.735 |            -0.672
 ED     |          42 | 2008-01-23 | 2013-10-22 |           3.218 |            -0.671
 HME    |         192 | 2008-01-09 | 2014-01-30 |           4.439 |            -0.636
 PCG    |          66 | 2008-01-23 | 2014-01-30 |           3.421 |            -0.623
 AVB    |         219 | 2008-01-07 | 2014-01-30 |           4.349 |            -0.623
 WU     |         176 | 2008-01-09 | 2014-01-28 |           3.611 |            -0.614
 EEM    |         161 | 2008-01-09 | 2013-12-06 |           3.875 |            -0.609
 NHI    |         169 | 2008-01-09 | 2014-01-03 |           3.672 |            -0.604
 CPT    |         206 | 2008-01-07 | 2013-12-04 |           4.575 |            -0.600
 ECL    |         126 | 2008-01-23 | 2013-12-06 |           3.201 |            -0.564
