# ~/hr/tkr_split_dates.csv
# This file is a demo of a file I use to collect split dates of tickers.
# Once this file is up to date,
# I use a script to read this file and issue a series of 
# UPDATE commands to make closing_price in ydata suitable for
# creating moving average calculations.

# Originally I wanted to separate the three columns with comma.
# But now I like plain white space.

# Some of the data below was obtained from ~/hr/qry_abrupt.sql
# Some was obtained from google of 'stock split dates.'

# Format:
# ticker  date  old_price/new_price

DD   1979-06-28  3
DD   1990-01-19  3
DD   1997-06-12  2 
DD   1964-11-18  1.2

DIS  1962-12-17  103/100
DIS  1967-11-15  2
DIS  1971-02-26  2
DIS  1973-01-15  2
DIS  1986-03-05  4
DIS  1992-05-15  4
DIS  1998-07-09  3

IBM  1964-05-15  5/4
IBM  1966-05-17  3/2
IBM  1968-04-22  2
IBM  1973-05-25  5/4
IBM  1979-05-31  4 
IBM  1997-05-27  2
IBM  1999-05-26  2

KO   1965-02-18  2  
KO   1968-05-31  2  
KO   1977-05-31  2
KO   1986-06-30  3
KO   1990-05-11  2
KO   1992-05-11  2
KO   1996-05-10  2
KO   2012-08-10  2

BA   1997-06-06 2
BA   1990-06-08 3/2
BA   1989-06-09 3/2
BA   1985-06-07 3/2
BA   1980-04-14 3/2
BA   1979-04-12 3/2
BA   1977-09-12 2
BA   1966-05-17 2

CAT  2005-07-13 2
CAT  1997-07-11 2
CAT  1994-09-02 2
CAT  1976-07-23 3/2
CAT  1964-07-02 2


CVX  2004-09-10 2
CVX  1994-06-10 2
CVX  1981-03-10 2
CVX  1973-12-10 2

ED   1989-06-30 2
ED   1982-06-30 2


GE   2000-05-05 3
GE   1997-05-09 2
GE   1994-05-13 2
GE   1987-05-22 2
GE   1983-06-01 2
GE   1971-06-07 2


HON  1997-09-15 2
HON  1994-03-14 2
HON  1984-05-29 3/2

HPQ  2000-10-27 2
HPQ  1996-07-15 2
HPQ  1995-04-13 2
HPQ  1983-08-25 2
HPQ  1981-07-17 2
HPQ  1979-07-30 2
HPQ  1970-03-19 2

JNJ  2001-06-12 2
JNJ  1996-06-11 2
JNJ  1992-06-09 2
JNJ  1989-05-10 2
JNJ  1981-05-18 3
JNJ  1970-05-15 3

MCD  1999-03-05 2
MCD  1994-06-24 2
MCD  1989-06-16 2
MCD  1987-06-22 3/2
MCD  1986-06-25 3/2
MCD  1984-09-24 3/2
MCD  1982-10-06 3/2
MCD  1972-06-05 2
MCD  1971-06-11 3/2

MMM  2003-09-29 2
MMM  1994-04-08 2
MMM  1987-06-15 2
MMM  1972-06-15 2

MO   2008-03-28 3.2
MO   1997-04-10 3
MO   1989-10-10 4
MO   1986-04-10 2
MO   1979-05-31 2
MO   1974-05-31 2


MRK  1999-02-16 2
MRK  1992-05-22 3
MRK  1988-05-25 3
MRK  1986-05-23 2
MRK  1972-05-31 2

MRO  2011-06-30 1.583
MRO  2007-06-18 2

NAV  1993-06-30 0.1

PG   2004-06-18 2
PG   1997-09-19 2
PG   1992-06-12 2
